template_id,final_name_ko,local_video_filename,local_video_path,notes
"M01","90/90 벽 호흡","M01.mp4","videos/templates/M01.mp4",""
"M02","크로커다일 호흡","M02.mp4","videos/templates/M02.mp4",""
"M03","턱 당기기","M03.mp4","videos/templates/M03.mp4",""
"M04","흉추 신전","M04.mp4","videos/templates/M04.mp4",""
"M05","스레드 더 니들","M05.mp4","videos/templates/M05.mp4",""
"M06","문틀 가슴 스트레치","M06.mp4","videos/templates/M06.mp4",""
"M07","벽천사","M07.mp4","videos/templates/M07.mp4",""
"M08","누워서 하는 T 레이즈","M08.mp4","videos/templates/M08.mp4",""
"M09","푸쉬업 플러스","M09.mp4","videos/templates/M09.mp4",""
"M10","고관절 굴곡근 스트레치","M10.mp4","videos/templates/M10.mp4",""
"M11","사각자세 록백","M11.mp4","videos/templates/M11.mp4",""
"M12","글루트 브릿지","M12.mp4","videos/templates/M12.mp4",""
"M13","데드버그","M13.mp4","videos/templates/M13.mp4",""
"M14","버드독","M14.mp4","videos/templates/M14.mp4",""
"M15","의자 박스 스쿼트","M15.mp4","videos/templates/M15.mp4",""
"M16","벽 짚고 스플릿 스쿼트","M16.mp4","videos/templates/M16.mp4",""
"M17","벽 짚고 스탠딩 힙 어브덕션","M17.mp4","videos/templates/M17.mp4",""
"M18","양발 카프 레이즈","M18.mp4","videos/templates/M18.mp4",""
"M19","리버스 런지","M19.mp4","videos/templates/M19.mp4",""
"M20","월 서포티드 힙힌지","M20.mp4","videos/templates/M20.mp4",""
"M21","버드독 슬로우 컨트롤","M21.mp4","videos/templates/M21.mp4",""
"M22","사이드 라이잉 힙 어브덕션","M22.mp4","videos/templates/M22.mp4",""
"M23","한발 밸런스 리치","M23.mp4","videos/templates/M23.mp4",""
"M24","티비얼리스 레이즈","M24.mp4","videos/templates/M24.mp4",""
"M25","프론 Y 레이즈","M25.mp4","videos/templates/M25.mp4",""
"M26","플랭크","M26.mp4","videos/templates/M26.mp4",""
"M27","오픈북","M27.mp4","videos/templates/M27.mp4",""
"M28","레그업 더 월","M28.mp4","videos/templates/M28.mp4",""
"M29","힐 탭 데드버그","M29.mp4","videos/templates/M29.mp4",""
"M30","쿼드러펫 숄더탭","M30.mp4","videos/templates/M30.mp4",""
"M31","버드독 3초 홀드","M31.mp4","videos/templates/M31.mp4",""
"M32","베어 포지션 홀드","M32.mp4","videos/templates/M32.mp4",""
"M33","사이드 플랭크 무릎 버전","M33.mp4","videos/templates/M33.mp4",""
"M34","마치 브릿지","M34.mp4","videos/templates/M34.mp4",""
"M35","싱글 브릿지 보조형","M35.mp4","videos/templates/M35.mp4",""
"M36","스플릿 스탠스 체중이동","M36.mp4","videos/templates/M36.mp4",""
"M37","스플릿 스쿼트 아이소 홀드","M37.mp4","videos/templates/M37.mp4",""
"M38","리버스 런지 투 니드라이브","M38.mp4","videos/templates/M38.mp4",""
"M39","의자 보조 싱글레그 RDL 리치","M39.mp4","videos/templates/M39.mp4",""
"M40","싱글레그 스탠드 리치 3방향","M40.mp4","videos/templates/M40.mp4",""
"M41","벽 발목 전방 이동","M41.mp4","videos/templates/M41.mp4",""
"M42","하프 니링 힙 쉬프트","M42.mp4","videos/templates/M42.mp4",""
"M43","90/90 힙 스위치","M43.mp4","videos/templates/M43.mp4",""
"M44","딥 스쿼트","M44.mp4","videos/templates/M44.mp4",""
"M45","벽 푸쉬업 플러스","M45.mp4","videos/templates/M45.mp4",""
"M46","스탠딩 오픈북","M46.mp4","videos/templates/M46.mp4",""
"M47","프론 W 레이즈","M47.mp4","videos/templates/M47.mp4",""
"M48","스탠딩 W 리트랙션","M48.mp4","videos/templates/M48.mp4",""
